Altium Designer Pick and Place Locations
C:\Users\Wim\CloudStation\Electronics\Fri3D_2020_01\.\OUTPUT\Pick Place\Pick Place for Fri3D_2020_01.txt

========================================================================================================================
File Design Information:

Date:       25/03/20
Time:       17:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                                   Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                
T7         "-2.3A -20V P-Ch MOSFET Vgs -1V"                          TopLayer    SOT23-3                 1417.323      1972.441      180      =Description               
T103       "0.2A N-Ch MOSFET Vgs 3.2"                                TopLayer    SOT23-3                 2086.614      1287.401      180      ""                         
T102       "0.2A N-Ch MOSFET Vgs 3.2"                                TopLayer    SOT23-3                 1929.134      1405.512      180      ""                         
R111       RESISTOR                                                  TopLayer    R0603_N                 1929.137      1299.216      360      ""                         
R110       RESISTOR                                                  TopLayer    R0603_N                 2086.611      1181.099      180      ""                         
R109       RESISTOR                                                  TopLayer    R0603_N                 2086.611      1393.697      180      ""                         
R108       RESISTOR                                                  TopLayer    R0603_N                 1929.131      1511.808      180      ""                         
P105       "Header 4"                                                TopLayer    HDR1X4                  2009.881      1079.474      130      ""                         
P104       "Header 4"                                                TopLayer    HDR1X4                  2009.881      1630.655      130      ""                         
P103       "Header 2"                                                TopLayer    HDR1X2                  -1043.307     3779.528      90       ""                         
J102       "XKB U254-051T-4BH81-S2S Micro USB"                       BottomLayer XKB_U254-051T-4BH81-S2S 2065.354      2903.346      270      ""                         
U102       "USB to full UART with internal crystal"                  TopLayer    SOIC_N_16               1988.189      3346.457      360      =Description               
U101       "3V3 LDO 700mA 50mV"                                      TopLayer    SOT23-5                 1574.803      3641.732      180      =Designator                
U100       "Single Cell LiIon charger max 1A"                        TopLayer    SOIC_N_8_TH             -1584.646     3750.000      90       =Description               
T101       "0.2A N-Ch MOSFET Vgs 3.2"                                BottomLayer SOT23-3                 1683.071      3750.000      90       ""                         
T100       "0.2A N-Ch MOSFET Vgs 3.2"                                BottomLayer SOT23-3                 1535.433      3750.000      270      ""                         
SW101      SW_1P2T                                                   TopLayer    WE_450404015514         1259.842      3708.661      180      ""                         
SW100      SW_1P2T                                                   TopLayer    WE_450404015514         -2068.898     3287.402      90       ""                         
R107       RESISTOR                                                  TopLayer    R0603_N                 1929.137      3110.239      360      ""                         
R106       RESISTOR                                                  TopLayer    R0603_N                 1929.137      2637.798      360      ""                         
R105       RESISTOR                                                  TopLayer    R0603_N                 -2007.871     2657.483      360      ""                         
